start_ip,end_ip,ip_count,province,city,isp
1.196.48.0,1.196.63.255,4096,河南,新乡,电信
1.196.64.0,1.196.111.255,12288,河南,商丘,电信
1.196.112.0,1.196.127.255,4096,河南,开封,电信
1.196.128.0,1.196.135.255,2048,河南,南阳,电信
1.196.136.0,1.196.143.255,2048,河南,三门峡,电信
1.196.144.0,1.196.147.255,1024,河南,周口,电信
1.196.148.0,1.196.159.255,3072,河南,南阳,电信
1.196.160.0,1.196.163.255,1024,河南,洛阳,电信
1.196.164.0,1.196.167.255,1024,河南,周口,电信
1.196.168.0,1.196.191.255,6144,河南,洛阳,电信
1.196.192.0,1.196.226.255,8960,河南,信阳,电信
1.196.227.0,1.196.227.255,256,河南,驻马店,电信
1.196.228.0,1.196.255.255,7168,河南,信阳,电信
1.197.0.0,1.197.31.255,8192,河南,鹤壁,电信
1.197.32.0,1.197.39.255,2048,河南,信阳,电信
1.197.40.0,1.197.48.255,2304,河南,漯河,电信
1.197.49.0,1.197.49.255,256,河南,商丘,电信
1.197.50.0,1.197.51.255,512,河南,漯河,电信
1.197.52.0,1.197.55.255,1024,河南,开封,电信
1.197.56.0,1.197.63.255,2048,河南,漯河,电信
1.197.64.0,1.197.95.255,8192,河南,周口,电信
1.197.96.0,1.197.99.255,1024,河南,三门峡,电信
1.197.100.0,1.197.127.255,7168,河南,驻马店,电信
1.197.128.0,1.197.141.255,3584,河南,许昌,电信
1.197.142.0,1.197.147.255,1536,河南,信阳,电信
1.197.148.0,1.197.149.255,512,河南,许昌,电信
1.197.150.0,1.197.151.255,512,河南,驻马店,电信
1.197.152.0,1.197.155.255,1024,河南,许昌,电信
1.197.156.0,1.197.159.255,1024,河南,焦作,电信
1.197.160.0,1.197.163.255,1024,河南,南阳,电信
1.197.164.0,1.197.167.255,1024,河南,开封,电信
1.197.168.0,1.197.179.255,3072,河南,南阳,电信
1.197.180.0,1.197.183.255,1024,河南,三门峡,电信
1.197.184.0,1.197.187.255,1024,河南,周口,电信
1.197.188.0,1.197.191.255,1024,河南,南阳,电信
1.197.192.0,1.197.201.255,2560,河南,濮阳,电信
1.197.202.0,1.197.207.255,1536,河南,济源,电信
1.197.208.0,1.197.211.255,1024,河南,安阳,电信
1.197.212.0,1.197.215.255,1024,河南,三门峡,电信
1.197.216.0,1.197.223.255,2048,河南,开封,电信
1.197.224.0,1.197.239.255,4096,河南,周口,电信
1.197.240.0,1.197.255.255,4096,河南,漯河,电信
1.198.0.0,1.198.3.255,1024,河南,濮阳,电信
1.198.4.0,1.198.31.255,7168,河南,郑州,电信
